,title,studio,year,domestic_gross,foreign_gross,total_gross
140,Our Family Wedding,FoxS,2010,20300000,1200000,21500000
141,My Soul to Take,Uni.,2010,14700000,6200000,20900000
142,71 Into the Fire,JS,2010,177000,20800000,20977000
143,"I Love You, Phillip Morris",RAtt.,2010,2000000,18700000,20700000
144,Country Strong,SGem,2010,20200000,310000,20510000
145,Another Year,SPC,2010,3200000,16500000,19700000
146,Youth in Revolt,W/Dim.,2010,15300000,4400000,19700000
147,Buried,LGF,2010,1000000,18100000,19100000
148,[Rec] 2,Magn.,2010,27800,18500000,18527800
149,Repo Men,Uni.,2010,13800000,4600000,18400000
150,A Prophet (Un prophète),SPC,2010,2100000,15800000,17900000
151,Soul Kitchen,IFC,2010,277000,17600000,17877000
152,Mother (2010),Magn.,2010,552000,16600000,17152000
153,Micmacs,SPC,2010,1300000,15100000,16400000
154,The Nutcracker in 3D,Free,2010,195000,16000000,16195000
155,Sea Rex 3D: Journey to a Prehistoric World,3D,2010,6100000,9900000,16000000
156,I Hate Luv Storys,UTV,2010,848000,14900000,15748000
157,Extraordinary Measures,CBS,2010,12100000,3100000,15200000
158,Somewhere,Focus,2010,1800000,12200000,14000000
159,Winter's Bone,RAtt.,2010,6500000,7300000,13800000
160,The Last Station,SPC,2010,6600000,6900000,13500000
161,Raajneeti,UTV,2010,1500000,11100000,12600000
162,Made in Dagenham,SPC,2010,1100000,11300000,12400000
163,Blue Valentine,Wein.,2010,9700000,2600000,12300000
164,Tamara Drewe,SPC,2010,560000,11400000,11960000
165,Chloe,SPC,2010,3100000,8600000,11700000
166,Looking for Eric,IFC,2010,55800,11500000,11555800
167,The Warrior's Way,Rela.,2010,5700000,5400000,11100000
168,I Am Love,Magn.,2010,5000000,5900000,10900000
169,Jonah Hex,WB,2010,10500000,356000,10856000
170,Harry Brown,Gold.,2010,1800000,8500000,10300000
171,Cyrus,FoxS,2010,7500000,2500000,10000000
172,Conviction,FoxS,2010,6800000,2900000,9700000
173,Get Low,SPC,2010,9200000,518000,9718000
174,Babies,Focus,2010,7300000,2200000,9500000
175,Stone,Over.,2010,1800000,7700000,9500000
176,Peepli Live,UTV,2010,758000,8700000,9458000
177,Never Let Me Go,FoxS,2010,2400000,7000000,9400000
178,Mid-August Lunch,Zeit.,2010,675000,8700000,9375000
179,MacGruber,Uni.,2010,8500000,797000,9297000
180,City Island,Anch.,2010,6700000,1200000,7900000
181,Inside Job,SPC,2010,4300000,3600000,7900000
